1Y.GR01;-1
1Y.GR02;-1
1Y.GR03;-1
1Y.GR04;-1
1Y.GR05;-1
1Y.GR06;-1
1Y.GR07;-1
1Y.GR09;-1
1Y.GR10;-1
1Y.GR11;-1
1Y.GR12;-1
1Y.GR13;-1
1Y.GR14;-1
1Y.GR15;-1
1Y.GR16;-1
1Y.GR17;-1
1Y.GR18;-1
1Y.GR19;-1
1Y.GR19B;-1
1Y.GR20;-1
1Y.GR21;-1
1Y.GR22;-1
1Y.GR23;-1
1Y.GR24;-1
1Y.GR26;-1
1Y.GR27;-1
1Y.GR28;-1
1Y.GR29;-1
1Y.GR30;-1
1Y.GR31;-1
1Y.GR32;-1
1Y.GR33;-1
1Y.LFKM;-1
1Y.MK01A;-1
1Y.MK02A;-1
1Y.MK03A;-1
1Y.MK04A;-1
2Y.A300A;-1
2Y.A301A;-1
2Y.A302A;-1
2Y.A303A;-1
4P.IT01A;-1
4P.IT02A;-1
4P.IT03A;-1
4P.IT04A;-1
4P.IT06A;-1
4P.IT07A;-1
4P.IT08A;-1
4P.IT09A;-1
4P.IT20A;-1
4P.IT27A;-1
4P.IT28A;-1
7B.A001A;-1
7B.A002B;-1
7B.A003A;-1
7B.A004A;-1
7B.A005B;-1
7B.A008A;-1
7B.A011B;-1
7B.A013A;-1
7B.A014A;-1
7B.A016A;-1
7B.A017A;-1
7B.A018A;-1
7B.A019A;-1
7B.A020B;-1
7B.A021A;-1
7B.A024B;-1
7B.A331A;-1
7B.A332A;-1
7B.A333A;-1
7B.A334A;-1
7B.A335A;-1
7B.A336A;-1
7B.A337A;-1
7B.A338A;-1
7B.A339A;-1
9H.HR01A;-1
9H.HR02A;-1
9H.HR03A;-1
9H.HR04A;-1
9H.HR05A;-1
9H.HR06A;-1
9H.HR07A;-1
9H.HR08A;-1
9H.HR09A;-1
9H.HR10A;-1
9H.HR11A;-1
9H.HR12A;-1
AC.BCI;2
AC.BERA;5
AC.KBN;-1
AC.LACI;5
AC.LSK;2
AC.PHP;-1
AC.PUK;2
AC.SRN;2
AC.VLO;-1
BS.BLKB;2
BS.BLSH;-1
BS.DIM;4
BS.DOBAM;-1
BS.ELND;2
BS.JMB;4
BS.KALB;2
BS.KDZ;-1
